text,cleaned_text,category,label,urgency
question about cancelling order {{Order Number}},question cancelling order order number,complaint,0,low
i have a question about cancelling oorder {{Order Number}},question cancelling oorder order number,complaint,0,low
i need help cancelling puchase {{Order Number}},need help cancelling puchase order number,complaint,0,medium
I need to cancel purchase {{Order Number}},need cancel purchase order number,complaint,0,medium
"I cannot afford this order, cancel purchase {{Order Number}}",cannot afford order cancel purchase order number,complaint,0,medium
can you help me cancel order {{Order Number}}?,help cancel order order number,complaint,0,medium
"I can no longer afford order {{Order Number}}, cancel it",longer afford order order number cancel,complaint,0,low
I am trying to cancel purchase {{Order Number}},trying cancel purchase order number,complaint,0,medium
I have got to cancel purchase {{Order Number}},got cancel purchase order number,complaint,0,medium
i need help canceling purchase {{Order Number}},need help canceling purchase order number,complaint,0,medium
i dont know what to do to cancel order {{Order Number}},dont know cancel order order number,complaint,0,medium
I have a problem with cancelling purchase {{Order Number}},problem cancelling purchase order number,complaint,0,medium
problem with canceling purchase {{Order Number}},problem canceling purchase order number,complaint,0,medium
can you help me canceling order {{Order Number}}?,help canceling order order number,complaint,0,medium
help  me canceling purchase {{Order Number}},help canceling purchase order number,complaint,0,medium
can you help me cancel purchase {{Order Number}}?,help cancel purchase order number,complaint,0,medium
what do I have to do to cancel purchase {{Order Number}}?,cancel purchase order number,complaint,0,medium
"I bought the same item twice, cancel order {{Order Number}}",bought item twice cancel order order number,complaint,0,medium
need help with canceling order {{Order Number}},need help canceling order order number,complaint,0,medium
i want assistance canceling order {{Order Number}},want assistance canceling order order number,complaint,0,low
I'm trying to cancel order {{Order Number}},im trying cancel order order number,complaint,0,medium
i have problems with canceling order {{Order Number}},problem canceling order order number,complaint,0,medium
assistance with cancelling pucrhase {{Order Number}},assistance cancelling pucrhase order number,complaint,0,low
need help with canceling purchase {{Order Number}},need help canceling purchase order number,complaint,0,medium
help cnceling order {{Order Number}},help cnceling order order number,complaint,0,medium
i want assistance cancelling order {{Order Number}},want assistance cancelling order order number,complaint,0,low
need assistance cancelling order {{Order Number}},need assistance cancelling order order number,complaint,0,low
problem with cancelling order {{Order Number}},problem cancelling order order number,complaint,0,medium
assistnace cancelling order {{Order Number}},assistnace cancelling order order number,complaint,0,low
have a problem with canceling order {{Order Number}},problem canceling order order number,complaint,0,medium
i need help with canceling purchase {{Order Number}},need help canceling purchase order number,complaint,0,medium
want assistance to cancel order  {{Order Number}},want assistance cancel order order number,complaint,0,medium
i do not know how i can cancel purchase {{Order Number}},know cancel purchase order number,complaint,0,medium
need assistance to cancel order {{Order Number}},need assistance cancel order order number,complaint,0,medium
I can no longer afford purchase {{Order Number}},longer afford purchase order number,complaint,0,low
i need assistance canceling purchase {{Order Number}},need assistance canceling purchase order number,complaint,0,low
I would like to cancel purchase {{Order Number}},would like cancel purchase order number,complaint,0,medium
i do not want these article i try to cancel order {{Order Number}},want article try cancel order order number,complaint,0,medium
